Path;FileName;EN;DE
;tolow;too. low!;
;lowbat;low. battery!;
;crowon;crow!, on!;
;crowof;crow!, off!;
;siglow;rf. signal!, low!;
;sigcrt;rf. signal!, critical!;
;spdmod;high. speed. mode!, active;
;thmmod;thermal. mode!, on;
;nrmmod;normal. mode!, on;
;lnding;landing. mode!, on;
;acro;acro. mode!, on;
;fm-1;flight. mode!, one;
;fm-2;flight. mode!, two;
;fm-3;flight. mode!, three;
;fm-4;flight. mode!, four;
;fm-5;flight. mode!, five;
;fm-6;flight. mode!, six;
;fm-7;flight. mode!, seven;
;fm-8;flight. mode!, eight;
;vrion;vario!, on;
;vrioff;vario!, off;
;fm-pwr;flight mode!, power;
;fm-lnd;flight mode!, land;
;fm-flt;flight mode!, float;
;fm-spd;flight mode!, speed;
;fm-fst;flight mode!, fast;
;fm-nrm;flight mode!, normal;
;fm-crs;flight mode!, cruise;
;fm-acr;flight mode!, acro;
;fm-rce;flight mode!, race;
;fm-lch;flight mode!, launch;
;fm-png;flight mode!, ping;
;fm-thm;flight mode!, thermal;
;fm-thml;flight mode!, thermal left;
;fm-thmr;flight mode!, thermal right;
// additional non-OpenTx derived/custom sounds from here
;actnlimt;trainer, limited;NOT_AVAILABLE
;actnflip;trainer, flip;NOT_AVAILABLE
;actrnoff;trainer, oghf;NOT_AVAILABLE
;cambrd;board camera;Board-Kamera
;camruncm;run cam;run cam
;camsw;camera, switch;Kamera, Schalter
;camcntr;camera centered;NOT_AVAILABLE
;camfix;camera, fixed;NOT_AVAILABLE
;camman;camera, manual;NOT_AVAILABLE
;camoff;camera, oghf;NOT_AVAILABLE
;camon;camera, awn;NOT_AVAILABLE
;gmblact;gimbal, active;NOT_AVAILABLE
;gmbloff;gimbal, oghf;NOT_AVAILABLE
;gmblon;gimbal, awn;NOT_AVAILABLE
;gmlocfix;gimbal local control, fixed mode;NOT_AVAILABLE
;gmlocfol;gimbal local control, follow mode;NOT_AVAILABLE
;gmslave;gimbal slave control;NOT_AVAILABLE
;acromd;acro mode;Modus acro
;anglmd;angle mode;Modus-winkel
;althld;altitude hold;Modus Höhe halten
;atmtcmd;automatic mode;Modus automatisch
;attmd;attitude mode;Modus-Einstellung
;automd;auto mode;Modus auto
;auttnmd;autotune mode;Modus auto-tune
;clmbmd;climbing mode;Modus Klettern
;cruzmd;cruise mode;Modus Kreuzfahrt
;fbwa;fly by wire, A;Fliegen Sie durch Draht A
